Application,Duration
test.py - focus_tracker - Visual Studio Code,2.0342979431152344
index.php - focus_tracker - Visual Studio Code,2.018211841583252
Application Usage Data - Google Chrome,10.108762264251709
index.php - focus_tracker - Visual Studio Code,1.0012860298156738
● index.php - focus_tracker - Visual Studio Code,1.0052220821380615
index.php - focus_tracker - Visual Studio Code,3.037278652191162
Application Usage Data - Google Chrome,12.095541954040527
ChatGPT - Google Chrome,3.0491042137145996
Application Usage Data - Google Chrome,8.080026865005493
application_usage.json - focus_tracker - Visual Studio Code,6.048144817352295
Application Usage Data - Google Chrome,4.031405687332153
application_usage.json - focus_tracker - Visual Studio Code,1.0168876647949219
application_usage.csv - focus_tracker - Visual Studio Code,4.0233941078186035
index.php - focus_tracker - Visual Studio Code,5.048460483551025
Application Usage Data - Google Chrome,4.049403429031372
WhatsApp,4.0378193855285645
Application Usage Data - Google Chrome,3.0244123935699463
WhatsApp,1.00789213180542
Application Usage Data - Google Chrome,1.0154845714569092
ChatGPT - Google Chrome,1.0237455368041992
Application Usage Data - Google Chrome,1.0093693733215332
C:\Windows\system32\cmd.exe,2.031337022781372
Application Usage Data - Google Chrome,3.024343490600586
Baresha Network – Todoist - Google Chrome,4.039109230041504
Application Usage Data - Google Chrome,2.0127036571502686
Task Scheduler,3.0335614681243896
Create Basic Task Wizard,6.0895819664001465
C:\Windows\system32\cmd.exe,1.0212304592132568
Application Usage Data - Google Chrome,1.0081770420074463
ChatGPT - Google Chrome,30.25777554512024
C:\Windows\system32\cmd.exe,2.004032850265503
ChatGPT - Google Chrome,1.0006601810455322
Create Basic Task Wizard,2.035922050476074
C:\Windows\system32\cmd.exe,2.0137717723846436
Application Usage Data - Google Chrome,2.0202512741088867
Application Usage Data - Google Chrome,2.0169222354888916
Anori new tab - Google Chrome,1.016577959060669
Application Usage Data - Google Chrome,2.016456365585327
focus - Shortcut - C:\xampp\htdocs\focus_tracker\focus.bat,2.017489194869995
Application Usage Data - Google Chrome,2.028277635574341
C:\Windows\SYSTEM32\cmd.exe,2.0149765014648438
Application Usage Data - Google Chrome,1.0127434730529785
focus - Shortcut - C:\xampp\htdocs\focus_tracker\focus.bat,1.011540174484253
Application Usage Data - Google Chrome,8.050333499908447
Home,1.0130412578582764
Application Usage Data - Google Chrome,2.018315315246582
Anori new tab - Google Chrome,1.0053021907806396
Home,1.0068109035491943
Program Manager,1.0060555934906006
Task Scheduler,1.0053563117980957
focus - Shortcut - C:\xampp\htdocs\focus_tracker\focus.bat,1.005429744720459
Task Scheduler,2.014533281326294
Untitled - Google Chrome,1.0164310932159424
Anori new tab - Google Chrome,5.047072887420654
ChatGPT - Google Chrome,4.016573667526245
PHP DataTables Script Summary - Google Chrome,24.180907249450684
Untitled - Notepad,1.003262996673584
PHP DataTables Script Summary - Google Chrome,3.025327205657959
*Set WshShell = CreateObject(WScript - Notepad,1.0022974014282227
PHP DataTables Script Summary - Google Chrome,4.043502330780029
Home,1.0086803436279297
Task Scheduler,5.034771203994751
Home,6.055285692214966
*Set WshShell = CreateObject(WScript - Notepad,7.061610698699951
Task Switching,1.0064113140106201
PHP DataTables Script Summary - Google Chrome,3.0220792293548584
Task Switching,1.0118160247802734
*Set WshShell = CreateObject(WScript - Notepad,1.0137879848480225
Save as,6.057690143585205
PHP DataTables Script Summary - Google Chrome,4.023175239562988
Program Manager,1.007023572921753
Test - Notepad,2.0167157649993896
Program Manager,2.015841245651245
Visual Studio Code,1.0054428577423096
test.py - Visual Studio Code,2.014521360397339
focus - Shortcut - C:\xampp\htdocs\focus_tracker\focus.bat,1.0074353218078613
PHP DataTables Script Summary - Google Chrome,14.122674465179443
test.py - Visual Studio Code,2.0110247135162354
PHP DataTables Script Summary - Google Chrome,1.0083341598510742
Program Manager,1.0070524215698242
Anori new tab - Google Chrome,2.0256128311157227
Index of / - Google Chrome,3.0209436416625977
Application Usage Data - Google Chrome,3.013477325439453
focus - Shortcut - C:\xampp\htdocs\focus_tracker\focus.bat,1.0077226161956787
Application Usage Data - Google Chrome,6.0633225440979
Anori new tab - Google Chrome,1.017876148223877
YouTube - Google Chrome,2.023961067199707
Application Usage Data - Google Chrome,2.0157649517059326
focus - Shortcut - C:\xampp\htdocs\focus_tracker\focus.bat,2.009211540222168
YouTube - Google Chrome,2.0057532787323
Recycle Bin,2.0148346424102783
Local Disk (C:),2.0148870944976807
Program Manager,1.0060756206512451
Run,1.0065586566925049
Startup,4.030971050262451
focus - Shortcut Properties,3.022792339324951
Advanced Properties,2.014659881591797
Change Icon,1.020357608795166
focus - Shortcut Properties,25.172741651535034
Startup,1.0074257850646973
Program Manager,1.019486665725708
YouTube - Google Chrome,1.0017797946929932
Application Usage Data - Google Chrome,8.059430837631226
Visual Studio Code,1.0106749534606934
test.py - Visual Studio Code,3.0189080238342285
Visual Studio Code,2.007704257965088
Open Folder,8.076243877410889
index.php - focus_tracker - Visual Studio Code,3.032597780227661
Application Usage Data - Google Chrome,1.0190153121948242
Anori new tab - Google Chrome,1.0007588863372803
ChatGPT - Google Chrome,88.77554202079773
index.php - focus_tracker - Visual Studio Code,1.0150763988494873
● index.php - focus_tracker - Visual Studio Code,1.0071523189544678
index.php - focus_tracker - Visual Studio Code,1.0071914196014404
Application Usage Data - Google Chrome,1.0114593505859375
Activity Tracker - Google Chrome,8.042309045791626
ChatGPT - Google Chrome,5.045963764190674
Activity Tracker - Google Chrome,8.062570571899414
ChatGPT - Google Chrome,3.0211381912231445
index.php - focus_tracker - Visual Studio Code,4.040754556655884
● index.php - focus_tracker - Visual Studio Code,5.050976991653442
Activity Tracker - Google Chrome,3.0354151725769043
ChatGPT - Google Chrome,1.0065884590148926
Activity Tracker - Google Chrome,1.0156526565551758
ChatGPT - Google Chrome,1.0072596073150635
Activity Tracker - Google Chrome,8.06266736984253
index.php - focus_tracker - Visual Studio Code,3.0206410884857178
● index.php - focus_tracker - Visual Studio Code,2.0089333057403564
Activity Tracker - Google Chrome,6.071262359619141
ChatGPT - Google Chrome,1.0078017711639404
Activity Tracker - Google Chrome,5.020981788635254
index.php - focus_tracker - Visual Studio Code,3.0267250537872314
Activity Tracker - Google Chrome,3.0194313526153564
YouTube - Google Chrome,1.0060043334960938
ChatGPT - Google Chrome,1.0013656616210938
Activity Tracker - Google Chrome,3.014735698699951
ChatGPT - Google Chrome,8.061783075332642
Activity Tracker - Google Chrome,4.034230709075928
ChatGPT - Google Chrome,3.0259053707122803
YouTube - Google Chrome,1.004012107849121
Activity Tracker - Google Chrome,1.0014183521270752
ChatGPT - Google Chrome,29.25083589553833
Task Switching,1.0254590511322021
index.php - focus_tracker - Visual Studio Code,3.022376537322998
● index.php - focus_tracker - Visual Studio Code,14.137065410614014
index.php - focus_tracker - Visual Studio Code,1.0144031047821045
ChatGPT - Google Chrome,6.029542684555054
Activity Tracker - Google Chrome,2.0110037326812744
ChatGPT - Google Chrome,123.54440712928772
ChatGPT - Google Chrome,4.031460523605347
ChatGPT - Google Chrome,6.034506559371948
ChatGPT - Google Chrome,1.0017585754394531
index.php - focus_tracker - Visual Studio Code,2.0254769325256348
Program Manager,1.0248007774353027
Anori - Google Chrome,1.0064496994018555
Anori new tab - Google Chrome,1.0135433673858643
Index of / - Google Chrome,3.017279624938965
ChatGPT - Google Chrome,3.028618335723877
New chat - Google Chrome,4.027480840682983
Visual Studio Code,1.0102581977844238
index.php - focus_tracker - Visual Studio Code,1.0083613395690918
● index.php - focus_tracker - Visual Studio Code,1.009131908416748
index.php - focus_tracker - Visual Studio Code,3.0350427627563477
Anori - Google Chrome,1.0140063762664795
Anori new tab - Google Chrome,1.0203862190246582
Index of / - Google Chrome,4.019587278366089
Activity Tracker - Google Chrome,12.10204267501831
New chat - Google Chrome,1.0074403285980225
Activity Tracker - Google Chrome,10.096285104751587
New chat - Google Chrome,9.083940029144287
Task Switching,1.001814842224121
index.php - focus_tracker - Visual Studio Code,3.032207489013672
New chat - Google Chrome,18.12640953063965
index.php - focus_tracker - Visual Studio Code,6.066063642501831
New chat - Google Chrome,1.0052587985992432
